item_name,state,latest_price,price_change,highest_price,lowest_price,item_group
CILI AKAR HIJAU,Perlis,12.91552448,-0.114928118,15.86386091,10.49345946,1
CILI AKAR HIJAU,Pulau Pinang,13.62380011,-0.261691496,16.18276509,9.664415888,1
CILI AKAR HIJAU,Sabah,18.33911175,-3.67589028,33.86065868,17.02971429,1
CILI AKAR HIJAU,Sarawak,24.86341667,-0.5745,29.79136364,22.18061728,1
CILI AKAR HIJAU,Selangor,13.455022,-0.506550797,17.19353635,10.46268639,1
CILI AKAR HIJAU,Terengganu,13.58862791,-0.519245594,17.40840188,10.08847458,1
CILI AKAR HIJAU,W.P. Kuala Lumpur,16.9183653,0.394236277,18.95738197,12.44230409,1
CILI AKAR HIJAU,W.P. Putrajaya,16.24539924,-0.565380549,19.58202247,11.95378049,1
CILI AKAR MERAH,Johor,15.11013612,-0.063197967,22.62220092,13.71482099,1
CILI AKAR MERAH,Kedah,17.46634265,-0.389750572,24.48611336,16.42140415,1
CILI AKAR MERAH,Kelantan,16.68643509,-0.233700674,23.29182168,15.06542473,1
CILI AKAR MERAH,Melaka,13.40967742,-0.100294034,23.40702532,12.87899038,1
CILI AKAR MERAH,Negeri Sembilan,14.62886288,-0.18970537,22.67420952,13.1128,1
CILI AKAR MERAH,Pahang,16.69564539,-0.250570415,24.15956492,14.51740029,1
CILI AKAR MERAH,Perak,16.00144217,-0.20670811,23.78579253,14.29885714,1
CILI AKAR MERAH,Perlis,17.69829333,-0.160215351,22.56862876,15.89473684,1
CILI AKAR MERAH,Pulau Pinang,15.90553444,-0.116695786,22.89156827,13.70129506,1
CILI AKAR MERAH,Sabah,26.68156863,-7.266114082,50.14472973,20.71809302,1
CILI AKAR MERAH,Sarawak,29.82537118,0.295358101,36.32141015,26.72006071,1
CILI AKAR MERAH,Selangor,15.33349693,-0.066412718,23.24882085,13.66751333,1
CILI AKAR MERAH,Terengganu,15.9765056,-0.247203238,22.04438849,14.37565628,1
CILI AKAR MERAH,W.P. Kuala Lumpur,18.85473616,0.699827269,24.71560658,15.70999421,1
CILI AKAR MERAH,W.P. Labuan,22.9,1.7,22.9,4.9,1
CILI AKAR MERAH,W.P. Putrajaya,16.62581673,-0.105315318,24.90974619,14.92149254,1
CILI HIJAU,Johor,11.64695608,0.003993282,14.15842166,10.71468286,1
CILI HIJAU,Kedah,11.465261,-0.007090311,13.49834682,9.789218968,1
CILI HIJAU,Kelantan,10.92107216,-0.20360566,13.44270127,8.463874426,1
CILI HIJAU,Melaka,12.00846939,-0.012804352,14.12947692,11.06084362,1
CILI HIJAU,Negeri Sembilan,11.09110451,-0.183023653,13.54079857,10.24898955,1
CILI HIJAU,Pahang,11.28319032,0.066682016,13.2925864,9.325107612,1
CILI HIJAU,Perak,11.86876344,-0.180649416,12.98600694,10.41052195,1
CILI HIJAU,Perlis,11.89862857,-0.107386395,14.03657895,10.33620879,1
CILI HIJAU,Pulau Pinang,11.54356341,-0.065963059,12.9249257,10.63797879,1
CILI HIJAU,Sabah,17.80395792,-0.341214875,18.52470514,15.08358974,1
CILI HIJAU,Sarawak,19.09859975,0.119964573,21.30248227,16.49473164,1
CILI HIJAU,Selangor,11.73073797,-0.099594105,13.72912214,10.60689434,1
CILI HIJAU,Terengganu,11.62400339,-0.034886758,13.7795499,9.226628866,1
CILI HIJAU,W.P. Kuala Lumpur,12.28173554,0.16413192,13.85894014,10.79922805,1
CILI HIJAU,W.P. Labuan,19.51806452,-0.824301075,26.34423077,14.37083333,1
CILI HIJAU,W.P. Putrajaya,12.66295547,0.135204148,14.71186508,11.40753968,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Johor,21.54001023,-0.212251667,28.60452324,19.24405656,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Kedah,23.51429752,-0.044934573,30.02058824,19.20745614,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Kelantan,24.31203014,0.409467332,30.26592949,19.40099042,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Melaka,24.43925512,0.057050637,29.76720077,19.82008511,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Negeri Sembilan,22.85079948,0.071913437,29.27273698,19.37152637,1
CILI KERING KERINTING (BERTANGKAI OR TIDAK BERTANGKAI),Pahang,21.55529201,-0.093954689,28.53352185,18.11107815,1
